City,Hour,Temperature
Niš,1.60,-3.498706266264092
Niš,1.80,-3.2867889031899105
Niš,2.00,-3.0511687714213576
Niš,2.21,-2.7808515628941297
Niš,2.41,-2.477153044799869
Niš,2.61,-2.1389081356465294
Niš,2.82,-1.7629857444480095
Niš,3.02,-1.3543506990148533
Niš,3.22,-0.914428148447298
Niš,3.42,-0.4464582442574567
Niš,3.62,0.03849593112356242
Niš,3.83,0.5310335979127379
Niš,4.03,1.033629321389963
Niš,4.23,1.5325245128461589
Niš,4.43,2.0221925875446845
Niš,4.64,2.5012915926442005
Niš,4.84,2.968877144207057
Niš,5.04,3.42945775576219
Niš,5.25,3.893001252657541
Niš,5.45,4.359503033885812
Niš,5.65,4.843525331819215
Niš,5.85,5.342025626831015
Niš,6.06,5.844808661440329
Niš,6.26,6.349468476002764
Niš,6.47,6.8466386113598965
Niš,7.51,9.022583436308743
Niš,7.71,9.336749221461133
Niš,10.16,11.84347511969284
Niš,10.37,12.071259784884518
Niš,10.57,12.31636396013883
Niš,10.78,12.584815214746602
Niš,10.98,12.876076749226439
Niš,11.19,13.20184532260295
Niš,11.39,13.549978507633512
Niš,11.59,13.932642322211027
Niš,11.80,14.338549748012785
Niš,12.00,14.751336217204592
Niš,12.20,14.508637489260895
Niš,12.41,14.267672865757962
Niš,12.62,14.031752967934846
Niš,12.82,13.792234091060934
Niš,13.03,13.542966442693846
Niš,13.24,13.278738648029321
Niš,13.44,13.002079306580647
Niš,13.64,12.692848389532674
Niš,13.85,12.357361164762974
Niš,17.72,3.982458644765149
Niš,17.93,3.6972096782131842
Niš,18.14,3.4467418404190013
Niš,18.34,3.22450780730777
Niš,18.54,3.0301370386035984
Niš,18.75,2.845076367676268
Niš,18.96,2.6675572611455802
Niš,19.16,2.4890131832880815
Niš,19.36,2.3092106252802482
Niš,19.57,2.1075742991040762
Niš,19.77,1.9045513348503178
Niš,19.98,1.6871449907139233
Niš,20.18,1.4746400868575584
Niš,20.39,1.2641023103188758
Niš,20.59,1.0656530442393386
Niš,20.80,0.8784746620051553
Niš,21.00,0.7039121274112521
Niš,22.04,-0.32236255483625964
Niš,22.24,-0.5951454202353776
Niš,22.44,-0.9067846417967225
Niš,22.65,-1.2586601943495026
Niš,22.86,-1.6488069198111655
